Candidate 0000121SAMUEL KWONG                                      0000001000000900
Candidate 0000131TIM E. DONNELLY                                   0000001000001000
Candidate 0000133DEAN PRESTON                                      0000001000001100
Candidate 0000135JOEL ENGARDIO                                     0000001000001200
Candidate 0000140MELISSA SAN MIGUEL                                0000001000001300
Candidate 0000144AHSHA SAFAI                                       0000001000001400
Candidate 0000122SHERMAN R. D'SILVA                                0000002000000900
Candidate 0000132AARON PESKIN                                      0000002000001000
Candidate 0000134LONDON BREED                                      0000002000001100
Candidate 0000136JOHN FARRELL                                      0000002000001200
Candidate 0000141HILLARY RONEN                                     0000002000001300
Candidate 0000145MAGDALENA DE GUZMAN                               0000002000001400
Candidate 0000003WRITE-IN                                          0000003000001010
Candidate 0000004WRITE-IN                                          0000003000001110
Candidate 0000123MARJAN PHILHOUR                                   0000003000000900
Candidate 0000137MIKE YOUNG                                        0000003000001200
Candidate 0000142ISWARI ESPAÑA                                     0000003000001300
Candidate 0000146FRANCISCO HERRERA                                 0000003000001400
Candidate 0000124RICHIE GREENBERG                                  0000004000000900
Candidate 0000138NORMAN YEE                                        0000004000001200
Candidate 0000143JOSHUA ARCE                                       0000004000001300
Candidate 0000147BERTA HERNANDEZ                                   0000004000001400
Candidate 0000006WRITE-IN                                          0000005000001310
Candidate 0000125DAVID LEE                                         0000005000000900
Candidate 0000139BEN MATRANGA                                      0000005000001200
Candidate 0000148KIM ALVARENGA                                     0000005000001400
Precinct  0000415Pct 9143                                          0000415000000000
Precinct  0000416Pct 9144                                          0000416000000000
Precinct  0000417Pct 9145                                          0000417000000000
Precinct  0000418Pct 9146                                          0000418000000000
Precinct  0000419Pct 9147                                          0000419000000000
Precinct  0000420Pct 9148                                          0000420000000000
Precinct  0000421Pct 9149                                          0000421000000000
Precinct  0000422Pct 9151                                          0000422000000000
Precinct  0000423Pct 9152                                          0000423000000000
Precinct  0000424Pct 9201                                          0000424000000000
Precinct  0000425Pct 9202                                          0000425000000000
Precinct  0000426Pct 9203                                          0000426000000000
Precinct  0000427Pct 9204                                          0000427000000000
Precinct  0000428Pct 9205                                          0000428000000000
Precinct  0000429Pct 9206                                          0000429000000000
Precinct  0000430Pct 9207                                          0000430000000000
Precinct  0000431Pct 9208                                          0000431000000000
Precinct  0000432Pct 9209                                          0000432000000000
Precinct  0000433Pct 9211                                          0000433000000000
Precinct  0000434Pct 9212                                          0000434000000000
Precinct  0000435Pct 9213                                          0000435000000000
Precinct  0000436Pct 9214                                          0000436000000000
Precinct  0000437Pct 9215                                          0000437000000000
Precinct  0000438Pct 9216                                          0000438000000000
Precinct  0000439Pct 9217                                          0000439000000000
Precinct  0000440Pct 9218                                          0000440000000000
Precinct  0000441Pct 9219                                          0000441000000000
Precinct  0000442Pct 9221                                          0000442000000000
Precinct  0000443Pct 9222                                          0000443000000000
Precinct  0000444Pct 9223                                          0000444000000000
Precinct  0000445Pct 9224                                          0000445000000000
Precinct  0000446Pct 9225                                          0000446000000000
Precinct  0000447Pct 9226                                          0000447000000000
Precinct  0000448Pct 9227                                          0000448000000000
Precinct  0000449Pct 9228                                          0000449000000000
Precinct  0000450Pct 9229                                          0000450000000000
Precinct  0000451Pct 9231                                          0000451000000000
Precinct  0000452Pct 9232                                          0000452000000000
Precinct  0000453Pct 9233                                          0000453000000000
Precinct  0000454Pct 9234                                          0000454000000000
Precinct  0000455Pct 9235                                          0000455000000000
Precinct  0000456Pct 9236                                          0000456000000000
Precinct  0000457Pct 9237                                          0000457000000000
Precinct  0000458Pct 9238                                          0000458000000000
Precinct  0000459Pct 9239                                          0000459000000000
Precinct  0000460Pct 9241                                          0000460000000000
Precinct  0000461Pct 9242                                          0000461000000000
Precinct  0000462Pct 9243                                          0000462000000000
Precinct  0000463Pct 9244                                          0000463000000000
Precinct  0000464Pct 9245                                          0000464000000000
Precinct  0000465Pct 9246                                          0000465000000000
Precinct  0000466Pct 9247                                          0000466000000000
Precinct  0000467Pct 9248                                          0000467000000000
Precinct  0000468Pct 9249                                          0000468000000000
Precinct  0000469Pct 9251                                          0000469000000000
Precinct  0000470Pct 9252                                          0000470000000000
Precinct  0000471Pct 9253                                          0000471000000000
Precinct  0000472Pct 9254                                          0000472000000000
Precinct  0000473Pct 9255                                          0000473000000000
Precinct  0000474Pct 9256                                          0000474000000000
